Tweet,Stock_value,Stock_actual,Time_tweet
"[['if', 'you', 'hate', 'tesla', 'musk', 'then', 'you', 'hate', 'america']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'lidl', 'walk', 'through', 'incoming']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'bank', 'loans', 'when', 'floating', 'rate', 'coupons', 'don', 't', 'float']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'are', 'stocks', 'too', 'expensive', 'questionmark']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['so', 'good']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'places', 'w', 'least', 'political', 'and', 'civil', 'freedom', 'syria', 'tibet', 'eritrea', 'tie', 'n', 'korea', 'turkmenistan', 'uzbekista']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'war', 'is', 'god', 's', 'way', 'of', 'teaching', 'americans', 'geography', 'h', 'l', 'mencken']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['the', 'of', 'vix', 'futures', 'contracts', 'that', 'would', 'have', 'to', 'be', 'bought', 'to', 'cover', 'a', 'one', 'day', 'market', 'drop']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['each', 'dot', 'represents', 'a', 'us', 'adult', 'pointing', 'out', 'the', 'location', 'of', 'north', 'korea', 'wow']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'new', 'home', 'sales', 'jump', 'to', 'highest', 'since', 'at', 'annual', 'pace', 'prices', 'up', 'while', 'supply', 'of', 'homes', 'down']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['terrorism', 'is', 'now', 'viewed', 'as', 'top', 'priority', 'for', 'us', 'gov', 't', 'deficit', 'way', 'down']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['amazon', 'is', 'an', 'amazon']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['tech', 'continues', 'to', 'shine', 'led', 'by', 'semis']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['be', 'mindful', 'of', 'slowing', 'money', 'supply', 'y', 'y', 'growth', 'rate', 'although', 'it', 'remains', 'above', 'economic', 'growth', 'rate']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[['mash']],2596.5025,2596.5025,"[9, 16, 32]"
"[['rt', 'bitcoin', 's', 'market', 'cap', 'just', 'passed', 'disney', 's', 'yes', 'that', 'disney', 'mickey', 'mouse', 'frozen', 'star', 'wars', 'marvel', 'pixar', 'abc', 'espn', 't']]",2596.5025,2596.5025,"[9, 13, 24]"
"[['the', 'secret', 'questionmark', 'it', 's', 'filled', 'with', 'norwegians']]",2594.53,2592.28,"[9, 11, 18]"
"[['so', 'heartbreaking']]",,,"[19, 44, 29]"
"[['rt', 'six', 'powerful', 'career', 'secrets', 'from', 'a', 'military', 'spouse', 'featuring', 'schwab', 's', 'own', 'brian', 'bowen', 'veterans']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[['women']],2587.55714286,2587.77142857,"[13, 30, 0]"
"[['among', 'so', 'many', 'reasons', 'to', 'love', 'dogs']]",,,"[6, 6, 18]"
"[['very', 'cool']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['i', 'll', 'add', 'that', 'i', 'agree', 'some', 'would', 'be', 'saved', 'and', 'not', 'spent', 'but', 'there', 'would', 'still', 'be', 'some', 'net', 'stimulus']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['there', 'would', 'be', 'benefits', 'for', 'most', 'in', 'first', 'few', 'years', 'albeit', 'some', 'more', 'than', 'others', 'big', 'issue', 'later']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['from', 'supply', 'side', 'stimulus', 'via', 'tax', 'reform', 'is', 'laudable', 'but', 'fiscal', 'stimulus', 'no']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['congrats', 'exclamationpoint', 'bwoty']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['good', 'luck', 'at', 'bwoty']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['fwiw', 'the', 'index', 'of', 'leading', 'indicators', 'continues', 'to', 'signal', 'strengthening', 'in', 'the', 'trend', 'in', 'gdp', 'growth']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'are', 'you', 'a', 'grammar', 'geek', 'questionmark', 'test', 'your', 'editing', 'skills', 'in', 'our', 'new', 'quiz']]",2596.5025,2596.5025,"[9, 5, 23]"
"[['some', 'of', 'the', 'recent', 'bounce', 'in', 'core', 'inflation', 'may', 'well', 'be', 'due', 'to', 'idiosyncratic', 'factors', 'as', 'well', 'but', 'pattern', 'adds', 'to']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['of', 'firms', 'in', 'survey', 'saying', 'they', 'have', 'raised', 'selling', 'prices', 'has', 'moved', 'up', 'a', 'little', 'adds', 'to', 'evidence', 'that', 'rec']]",2587.55714286,2587.77142857,"[13, 30, 0]"
[['comm']],2587.55714286,2587.77142857,"[13, 30, 0]"
"[['lessons', 'from', 'a', 'legendary', 'short', 'seller', 'robert', 'wilson']]",2587.55714286,2587.77142857,"[13, 30, 0]"
"[['rt', 'interviews', 'with', 'john', 'templeton', 'warren', 'buffett', 'amp', 'bob', 'wilson', 'from']]",2587.55714286,2587.77142857,"[13, 30, 0]"
